	DTL	DTM	DTS	DTT	TN1	TN10	TN11	TN12	TN13	TN14	TN15	TN16	TN17	TN18	TN2	TN20	TN23	TN24	TN3	TN4	TN5	TN7	TN8	TN9	WA1	WA10	WA11	WA13	WA14	WA15	WA17	WA18	WA19	WA2	WA21	WA22	WA24	WA3	WA4	WA5	WA6	WA7	WA8	WA9
TN15	1.0	1.0	0.9858333333333333	0.9991666666666666	0.625	0.85	0.7275	0.8075	0.7291666666666666	0.6725	0.0	0.8175	0.5233333333333333	0.37	0.8058333333333333	0.7541666666666667	0.8166666666666667	0.7308333333333333	0.7491666666666666	0.555	0.7308333333333333	0.8241666666666667	0.8975	0.6233333333333333	0.8925	0.91	0.9241666666666667	0.9041666666666667	0.9633333333333334	0.9175	0.9558333333333333	0.9225	0.7883333333333333	0.8975	0.6916666666666667	0.9391666666666667	0.9583333333333334	0.9833333333333333	0.9275	0.9	0.9266666666666666	0.9608333333333333	0.9425	0.96
TN16	1.0	0.9975	1.0	1.0	0.93	0.8083333333333333	0.7691666666666667	0.7825	0.9825	0.9658333333333333	0.8175	0.0	0.865	0.8491666666666666	0.9158333333333334	0.7383333333333333	0.7483333333333333	0.9325	0.9633333333333334	0.9275	0.8191666666666667	0.9525	0.8766666666666667	0.8991666666666667	0.9258333333333333	0.9491666666666667	0.9883333333333333	0.8341666666666666	0.9791666666666666	0.9675	0.9916666666666667	0.9633333333333334	0.9375	0.9691666666666666	0.9575	0.9916666666666667	0.9733333333333334	0.9191666666666667	0.9491666666666667	0.9341666666666667	0.9483333333333334	0.95	0.9808333333333333	0.9358333333333333
TN17	0.9958333333333333	0.9975	0.9891666666666666	0.9883333333333333	0.7891666666666667	0.7358333333333333	0.6716666666666666	0.7091666666666666	0.8	0.7475	0.5233333333333333	0.865	0.0	0.44166666666666665	0.7825	0.72	0.8283333333333334	0.8108333333333333	0.8266666666666667	0.6058333333333333	0.7375	0.8466666666666667	0.8966666666666666	0.7675	0.8725	0.9	0.93	0.7941666666666667	0.9575	0.8808333333333334	0.9375	0.8783333333333333	0.785	0.8933333333333333	0.8258333333333333	0.905	0.925	0.9533333333333334	0.9008333333333334	0.915	0.9166666666666666	0.9125	0.9458333333333333	0.9058333333333334
TN18	1.0	0.9975	0.9858333333333333	0.9991666666666666	0.6683333333333333	0.8325	0.7175	0.825	0.6883333333333334	0.65	0.37	0.8491666666666666	0.44166666666666665	0.0	0.8016666666666666	0.7641666666666667	0.7658333333333334	0.6608333333333334	0.7075	0.5125	0.7333333333333333	0.7966666666666666	0.8941666666666667	0.6091666666666666	0.9341666666666667	0.9216666666666666	0.9408333333333333	0.9175	0.9383333333333334	0.9058333333333334	0.9425	0.945	0.7783333333333333	0.9216666666666666	0.6633333333333333	0.9483333333333334	0.9541666666666667	0.9325	0.9566666666666667	0.91	0.9616666666666667	0.9441666666666667	0.9441666666666667	0.9583333333333334
TN2	0.9975	0.9958333333333333	0.9675	0.9975	0.7458333333333333	0.7541666666666667	0.7	0.735	0.7083333333333334	0.7433333333333333	0.8058333333333333	0.9158333333333334	0.7825	0.8016666666666666	0.0	0.8166666666666667	0.8966666666666666	0.8041666666666667	0.7141666666666666	0.7725	0.71	0.8058333333333333	0.7191666666666666	0.8016666666666666	0.9016666666666666	0.9158333333333334	0.9341666666666667	0.8741666666666666	0.9458333333333333	0.9166666666666666	0.9225	0.8658333333333333	0.7733333333333333	0.8991666666666667	0.6683333333333333	0.9	0.9	0.9475	0.9033333333333333	0.9075	0.9375	0.8933333333333333	0.94	0.9208333333333333
TN20	0.9958333333333333	0.99	0.9916666666666667	0.9966666666666667	0.82	0.6208333333333333	0.5116666666666667	0.575	0.8408333333333333	0.8725	0.7541666666666667	0.7383333333333333	0.72	0.7641666666666667	0.8166666666666667	0.0	0.645	0.7458333333333333	0.865	0.8066666666666666	0.6533333333333333	0.8591666666666666	0.785	0.6558333333333334	0.8233333333333334	0.9066666666666666	0.905	0.7075	0.9466666666666667	0.8625	0.9541666666666667	0.9016666666666666	0.7733333333333333	0.9008333333333334	0.8041666666666667	0.8233333333333334	0.9383333333333334	0.9483333333333334	0.865	0.86	0.8975	0.865	0.9541666666666667	0.8775
TN23	1.0	0.99	0.9983333333333333	1.0	0.85	0.7616666666666667	0.7741666666666667	0.8425	0.8858333333333334	0.885	0.8166666666666667	0.7483333333333333	0.8283333333333334	0.7658333333333334	0.8966666666666666	0.645	0.0	0.7558333333333334	0.89	0.8325	0.7933333333333333	0.8733333333333333	0.8783333333333333	0.5941666666666666	0.9591666666666666	0.9366666666666666	0.8891666666666667	0.8808333333333334	0.9641666666666666	0.9158333333333334	0.9658333333333333	0.9716666666666667	0.8816666666666667	0.9483333333333334	0.8391666666666666	0.86	0.9558333333333333	0.9441666666666667	0.9383333333333334	0.9358333333333333	0.9541666666666667	0.9433333333333334	0.9591666666666666	0.9541666666666667
TN24	1.0	0.9975	0.985	0.9991666666666666	0.6591666666666667	0.7275	0.64	0.9133333333333333	0.4558333333333333	0.5366666666666666	0.7308333333333333	0.9325	0.8108333333333333	0.6608333333333334	0.8041666666666667	0.7458333333333333	0.7558333333333334	0.0	0.4683333333333333	0.5433333333333333	0.735	0.6875	0.8625	0.525	0.9458333333333333	0.9208333333333333	0.9116666666666666	0.935	0.9691666666666666	0.9308333333333333	0.935	0.9475	0.8575	0.9275	0.6925	0.9325	0.9575	0.97	0.9533333333333334	0.9083333333333333	0.9416666666666667	0.9658333333333333	0.975	0.98
TN3	1.0	1.0	0.9841666666666666	0.9991666666666666	0.6883333333333334	0.8158333333333333	0.7233333333333334	0.8133333333333334	0.33166666666666667	0.3933333333333333	0.7491666666666666	0.9633333333333334	0.8266666666666667	0.7075	0.7141666666666666	0.865	0.89	0.4683333333333333	0.0	0.5383333333333333	0.7683333333333333	0.715	0.8991666666666667	0.7033333333333334	0.945	0.9475	0.9225	0.915	0.9591666666666666	0.9375	0.8616666666666667	0.9	0.7683333333333333	0.925	0.61	0.87	0.8975	0.9516666666666667	0.9441666666666667	0.9258333333333333	0.9491666666666667	0.9491666666666667	0.9483333333333334	0.9558333333333333
TN4	0.9991666666666666	0.9975	0.9858333333333333	0.9991666666666666	0.5516666666666666	0.8325	0.715	0.8608333333333333	0.54	0.5766666666666667	0.555	0.9275	0.6058333333333333	0.5125	0.7725	0.8066666666666666	0.8325	0.5433333333333333	0.5383333333333333	0.0	0.7391666666666666	0.7408333333333333	0.8808333333333334	0.5933333333333334	0.9	0.9225	0.8666666666666667	0.8808333333333334	0.9458333333333333	0.87	0.9241666666666667	0.8983333333333333	0.7575	0.8608333333333333	0.6458333333333334	0.9116666666666666	0.9316666666666666	0.9516666666666667	0.9225	0.8891666666666667	0.9258333333333333	0.9325	0.9191666666666667	0.9508333333333333
TN5	0.9991666666666666	0.9958333333333333	0.9816666666666667	0.9975	0.7858333333333334	0.6391666666666667	0.6125	0.7366666666666667	0.76	0.8216666666666667	0.7308333333333333	0.8191666666666667	0.7375	0.7333333333333333	0.71	0.6533333333333333	0.7933333333333333	0.735	0.7683333333333333	0.7391666666666666	0.0	0.7133333333333334	0.7375	0.7175	0.8033333333333333	0.8516666666666667	0.9641666666666666	0.76	0.9575	0.8716666666666667	0.9191666666666667	0.8866666666666667	0.8083333333333333	0.86	0.7633333333333333	0.8758333333333334	0.905	0.9233333333333333	0.82	0.8216666666666667	0.8483333333333334	0.895	0.96	0.9083333333333333
TN7	0.9975	0.9975	0.9858333333333333	0.9991666666666666	0.8108333333333333	0.8016666666666666	0.6933333333333334	0.9008333333333334	0.7083333333333334	0.7958333333333333	0.8241666666666667	0.9525	0.8466666666666667	0.7966666666666666	0.8058333333333333	0.8591666666666666	0.8733333333333333	0.6875	0.715	0.7408333333333333	0.7133333333333334	0.0	0.85	0.7433333333333333	0.9075	0.9358333333333333	0.975	0.9091666666666667	0.9791666666666666	0.9491666666666667	0.88	0.93	0.8266666666666667	0.9441666666666667	0.7783333333333333	0.9008333333333334	0.9116666666666666	0.9391666666666667	0.9441666666666667	0.9125	0.935	0.9466666666666667	0.9775	0.955
TN8	0.9983333333333333	0.9975	0.9841666666666666	1.0	0.8575	0.7675	0.7558333333333334	0.845	0.9033333333333333	0.9325	0.8975	0.8766666666666667	0.8966666666666666	0.8941666666666667	0.7191666666666666	0.785	0.8783333333333333	0.8625	0.8991666666666667	0.8808333333333334	0.7375	0.85	0.0	0.83	0.9133333333333333	0.9041666666666667	0.9841666666666666	0.8991666666666667	0.9633333333333334	0.8933333333333333	0.9466666666666667	0.9391666666666667	0.9083333333333333	0.9091666666666667	0.8058333333333333	0.9266666666666666	0.9525	0.955	0.7475	0.6575	0.7458333333333333	0.9475	0.97	0.9325
TN9	1.0	1.0	0.9858333333333333	0.9991666666666666	0.6666666666666666	0.7358333333333333	0.6175	0.8933333333333333	0.7058333333333333	0.74	0.6233333333333333	0.8991666666666667	0.7675	0.6091666666666666	0.8016666666666666	0.6558333333333334	0.5941666666666666	0.525	0.7033333333333334	0.5933333333333334	0.7175	0.7433333333333333	0.83	0.0	0.89	0.8908333333333334	0.885	0.8725	0.9858333333333333	0.8516666666666667	0.9458333333333333	0.9283333333333333	0.7908333333333334	0.8625	0.6825	0.9175	0.945	0.9833333333333333	0.93	0.8708333333333333	0.9191666666666667	0.9591666666666666	0.9541666666666667	0.9741666666666666
WA1	0.9975	0.9983333333333333	0.9958333333333333	0.9983333333333333	0.9183333333333333	0.8491666666666666	0.8183333333333334	0.8841666666666667	0.925	0.9391666666666667	0.8925	0.9258333333333333	0.8725	0.9341666666666667	0.9016666666666666	0.8233333333333334	0.9591666666666666	0.9458333333333333	0.945	0.9	0.8033333333333333	0.9075	0.9133333333333333	0.89	0.0	0.745	0.9116666666666666	0.74	0.945	0.81	0.7675	0.6966666666666667	0.835	0.6875	0.9475	0.7408333333333333	0.7425	0.7941666666666667	0.7566666666666667	0.7525	0.7575	0.9008333333333334	0.8958333333333334	0.855
WA10	0.9975	0.9983333333333333	0.9908333333333333	0.9983333333333333	0.9708333333333333	0.845	0.8841666666666667	0.9341666666666667	0.9541666666666667	0.9391666666666667	0.91	0.9491666666666667	0.9	0.9216666666666666	0.9158333333333334	0.9066666666666666	0.9366666666666666	0.9208333333333333	0.9475	0.9225	0.8516666666666667	0.9358333333333333	0.9041666666666667	0.8908333333333334	0.745	0.0	0.8958333333333334	0.8441666666666666	0.945	0.9141666666666667	0.885	0.8225	0.9541666666666667	0.7491666666666666	0.9791666666666666	0.8166666666666667	0.7916666666666666	0.74	0.725	0.7341666666666666	0.7475	0.7791666666666667	0.9358333333333333	0.7516666666666667
WA11	1.0	0.9983333333333333	0.9958333333333333	0.9983333333333333	0.9575	0.9475	0.9625	0.9333333333333333	0.9216666666666666	0.8866666666666667	0.9241666666666667	0.9883333333333333	0.93	0.9408333333333333	0.9341666666666667	0.905	0.8891666666666667	0.9116666666666666	0.9225	0.8666666666666667	0.9641666666666666	0.975	0.9841666666666666	0.885	0.9116666666666666	0.8958333333333334	0.0	0.8808333333333334	0.9233333333333333	0.875	0.855	0.8233333333333334	0.8758333333333334	0.8008333333333333	0.9383333333333334	0.6525	0.8391666666666666	0.9725	0.935	0.9316666666666666	0.93	0.955	0.7783333333333333	0.9533333333333334
WA13	1.0	0.9975	1.0	1.0	0.9216666666666666	0.79	0.7291666666666666	0.6858333333333333	0.9158333333333334	0.9141666666666667	0.9041666666666667	0.8341666666666666	0.7941666666666667	0.9175	0.8741666666666666	0.7075	0.8808333333333334	0.935	0.915	0.8808333333333334	0.76	0.9091666666666667	0.8991666666666667	0.8725	0.74	0.8441666666666666	0.8808333333333334	0.0	0.9116666666666666	0.5975	0.8066666666666666	0.7208333333333333	0.7675	0.7275	0.925	0.7983333333333333	0.7841666666666667	0.8591666666666666	0.7575	0.7808333333333334	0.775	0.8741666666666666	0.88	0.8516666666666667
WA14	1.0	0.9975	1.0	0.9958333333333333	0.9775	0.945	0.9433333333333334	0.9141666666666667	0.9516666666666667	0.9233333333333333	0.9633333333333334	0.9791666666666666	0.9575	0.9383333333333334	0.9458333333333333	0.9466666666666667	0.9641666666666666	0.9691666666666666	0.9591666666666666	0.9458333333333333	0.9575	0.9791666666666666	0.9633333333333334	0.9858333333333333	0.945	0.945	0.9233333333333333	0.9116666666666666	0.0	0.9125	0.9066666666666666	0.8941666666666667	0.895	0.9091666666666667	0.9533333333333334	0.8958333333333334	0.8783333333333333	0.9533333333333334	0.9133333333333333	0.9075	0.93	0.8808333333333334	0.8066666666666666	0.9
WA15	1.0	1.0	1.0	0.9933333333333333	0.8983333333333333	0.8783333333333333	0.8633333333333333	0.8408333333333333	0.9133333333333333	0.9016666666666666	0.9175	0.9675	0.8808333333333334	0.9058333333333334	0.9166666666666666	0.8625	0.9158333333333334	0.9308333333333333	0.9375	0.87	0.8716666666666667	0.9491666666666667	0.8933333333333333	0.8516666666666667	0.81	0.9141666666666667	0.875	0.5975	0.9125	0.0	0.8608333333333333	0.8258333333333333	0.8608333333333333	0.7741666666666667	0.9208333333333333	0.8591666666666666	0.805	0.8116666666666666	0.8691666666666666	0.8508333333333333	0.905	0.9408333333333333	0.8591666666666666	0.9591666666666666
WA17	1.0	0.9983333333333333	0.9958333333333333	0.9983333333333333	0.9858333333333333	0.9483333333333334	0.935	0.9391666666666667	0.865	0.9183333333333333	0.9558333333333333	0.9916666666666667	0.9375	0.9425	0.9225	0.9541666666666667	0.9658333333333333	0.935	0.8616666666666667	0.9241666666666667	0.9191666666666667	0.88	0.9466666666666667	0.9458333333333333	0.7675	0.885	0.855	0.8066666666666666	0.9066666666666666	0.8608333333333333	0.0	0.4141666666666667	0.8766666666666667	0.6675	0.9241666666666667	0.6283333333333333	0.49	0.8966666666666666	0.7925	0.775	0.775	0.93	0.855	0.92
WA18	1.0	0.9958333333333333	0.9941666666666666	0.9983333333333333	0.9658333333333333	0.8966666666666666	0.8958333333333334	0.8633333333333333	0.8825	0.9033333333333333	0.9225	0.9633333333333334	0.8783333333333333	0.945	0.8658333333333333	0.9016666666666666	0.9716666666666667	0.9475	0.9	0.8983333333333333	0.8866666666666667	0.93	0.9391666666666667	0.9283333333333333	0.6966666666666667	0.8225	0.8233333333333334	0.7208333333333333	0.8941666666666667	0.8258333333333333	0.4141666666666667	0.0	0.8258333333333333	0.6083333333333333	0.9283333333333333	0.6266666666666667	0.48333333333333334	0.8525	0.7183333333333334	0.7058333333333333	0.68	0.8316666666666667	0.8141666666666667	0.8233333333333334
WA19	1.0	1.0	0.9858333333333333	0.9991666666666666	0.8266666666666667	0.8591666666666666	0.7783333333333333	0.7308333333333333	0.7625	0.7425	0.7883333333333333	0.9375	0.785	0.7783333333333333	0.7733333333333333	0.7733333333333333	0.8816666666666667	0.8575	0.7683333333333333	0.7575	0.8083333333333333	0.8266666666666667	0.9083333333333333	0.7908333333333334	0.835	0.9541666666666667	0.8758333333333334	0.7675	0.895	0.8608333333333333	0.8766666666666667	0.8258333333333333	0.0	0.8483333333333334	0.5975	0.8483333333333334	0.8658333333333333	0.9133333333333333	0.88	0.8891666666666667	0.92	0.8458333333333333	0.48333333333333334	0.8691666666666666
WA2	0.9975	0.9983333333333333	0.9958333333333333	0.9983333333333333	0.9133333333333333	0.8683333333333333	0.9041666666666667	0.8966666666666666	0.925	0.9091666666666667	0.8975	0.9691666666666666	0.8933333333333333	0.9216666666666666	0.8991666666666667	0.9008333333333334	0.9483333333333334	0.9275	0.925	0.8608333333333333	0.86	0.9441666666666667	0.9091666666666667	0.8625	0.6875	0.7491666666666666	0.8008333333333333	0.7275	0.9091666666666667	0.7741666666666667	0.6675	0.6083333333333333	0.8483333333333334	0.0	0.9141666666666667	0.6808333333333333	0.6616666666666666	0.8658333333333333	0.7691666666666667	0.7208333333333333	0.7233333333333334	0.8683333333333333	0.8216666666666667	0.8791666666666667
WA21	1.0	1.0	0.9858333333333333	0.9991666666666666	0.7283333333333334	0.8516666666666667	0.7683333333333333	0.7733333333333333	0.5341666666666667	0.5141666666666667	0.6916666666666667	0.9575	0.8258333333333333	0.6633333333333333	0.6683333333333333	0.8041666666666667	0.8391666666666666	0.6925	0.61	0.6458333333333334	0.7633333333333333	0.7783333333333333	0.8058333333333333	0.6825	0.9475	0.9791666666666666	0.9383333333333334	0.925	0.9533333333333334	0.9208333333333333	0.9241666666666667	0.9283333333333333	0.5975	0.9141666666666667	0.0	0.9508333333333333	0.9383333333333334	0.9858333333333333	0.9658333333333333	0.945	0.9616666666666667	0.9475	0.7575	0.9641666666666666
WA22	0.9958333333333333	0.9916666666666667	0.99	0.9941666666666666	0.9466666666666667	0.9	0.9116666666666666	0.8833333333333333	0.9225	0.8908333333333334	0.9391666666666667	0.9916666666666667	0.905	0.9483333333333334	0.9	0.8233333333333334	0.86	0.9325	0.87	0.9116666666666666	0.8758333333333334	0.9008333333333334	0.9266666666666666	0.9175	0.7408333333333333	0.8166666666666667	0.6525	0.7983333333333333	0.8958333333333334	0.8591666666666666	0.6283333333333333	0.6266666666666667	0.8483333333333334	0.6808333333333333	0.9508333333333333	0.0	0.55	0.8733333333333333	0.7683333333333333	0.7483333333333333	0.755	0.8366666666666667	0.8675	0.8525
WA24	0.9933333333333333	0.995	0.9866666666666667	0.9941666666666666	0.9633333333333334	0.9275	0.935	0.9141666666666667	0.9058333333333334	0.9183333333333333	0.9583333333333334	0.9733333333333334	0.925	0.9541666666666667	0.9	0.9383333333333334	0.9558333333333333	0.9575	0.8975	0.9316666666666666	0.905	0.9116666666666666	0.9525	0.945	0.7425	0.7916666666666666	0.8391666666666666	0.7841666666666667	0.8783333333333333	0.805	0.49	0.48333333333333334	0.8658333333333333	0.6616666666666666	0.9383333333333334	0.55	0.0	0.8283333333333334	0.7866666666666666	0.7716666666666666	0.7616666666666667	0.8583333333333333	0.8566666666666667	0.9008333333333334
WA3	0.9975	0.9933333333333333	1.0	1.0	0.9833333333333333	0.9066666666666666	0.9191666666666667	0.9325	0.9758333333333333	0.9875	0.9833333333333333	0.9191666666666667	0.9533333333333334	0.9325	0.9475	0.9483333333333334	0.9441666666666667	0.97	0.9516666666666667	0.9516666666666667	0.9233333333333333	0.9391666666666667	0.955	0.9833333333333333	0.7941666666666667	0.74	0.9725	0.8591666666666666	0.9533333333333334	0.8116666666666666	0.8966666666666666	0.8525	0.9133333333333333	0.8658333333333333	0.9858333333333333	0.8733333333333333	0.8283333333333334	0.0	0.83	0.8358333333333333	0.8625	0.6983333333333334	0.9133333333333333	0.7016666666666667
